Results of simulation
numPrimaryLinks, numSecondaryLinks, avgSelected, avgTime, minSelected, maxSelected, minTime, maxTime
1 100 12.938 533419 1 34 13294 11997557
1 100 35.983 366910 19 49 177010 4221732
1 150 14.446 896906 1 39 12430 4455630
1 150 44.084 523417 17 59 249118 2472212
1 200 16.664 1491574 1 45 14245 7468281
1 200 50.946 740553 22 69 368194 1761847
1 250 17.576 1942018 1 48 16503 8888223
1 250 56.979 954388 26 77 555072 1348830
1 300 18.789 2599153 1 51 19687 11376440
1 300 62.127 1184976 27 86 690241 2859923
1 350 21.563 3587389 1 63 23071 17275505
1 350 67.72 1434702 30 90 727283 3603499
1 400 21.857 4157925 1 58 26978 19772552
1 400 71.897 1692883 34 97 874387 4483985
1 450 22.883 5037112 1 61 30640 23998415
1 450 76.043 1947853 29 109 991383 3527607
1 500 24.106 5949689 1 63 34802 23256326
1 500 79.121 2202228 32 107 1197771 5848653
2 100 7.288 200511 2 32 8738 2211708
2 100 35.153 315025 16 48 165218 830140
2 150 8.304 376952 2 40 10778 6008094
2 150 42.863 523771 21 58 286116 3540657
2 200 8.37 503385 2 43 12242 6159667
2 200 48.32 711957 25 70 400247 2000861
2 250 9.918 817269 2 45 15108 8138811
2 250 53.876 929465 22 74 458581 2349494
2 300 10.606 1102108 2 51 17726 10906814
2 300 58.57 1161694 27 83 602978 3317986
2 350 11.871 1546533 2 55 20838 15222788
2 350 62.412 1396828 25 91 813097 7364695
2 400 10.625 1466917 2 57 25166 17025986
2 400 65.057 1611513 28 95 846519 3955272
2 450 11.847 1975561 2 58 29088 21417559
2 450 68.288 1855519 32 99 1041265 4991538
2 500 12.508 2426783 2 68 32626 26514216
2 500 71.542 2107151 33 110 1269714 8912980
5 100 5.555 24549 5 27 7959 1200810
5 100 35.341 337404 21 49 217376 1465843
5 150 5.74 49689 5 34 9836 2703198
5 150 41.224 526494 21 61 296244 1873949
5 200 5.899 72957 5 36 12535 3724439
5 200 45.238 716912 23 71 442220 1863317
5 250 6.033 106918 5 40 15321 6205587
5 250 49.21 928542 25 74 588996 2696106
5 300 5.929 96190 5 44 18651 6427719
5 300 52.249 1128558 30 81 690843 3139140
5 350 6.206 189442 5 49 22019 10631937
5 350 54.976 1340315 28 85 798897 3496081
5 400 5.843 138336 5 50 25929 10286669
5 400 57.453 1559428 30 96 982103 2474734
5 450 6.274 225429 5 51 29336 14196408
5 450 60.436 1797279 33 102 1179086 4098903
5 500 6.523 360519 5 62 34174 21229055
5 500 62.683 2045055 31 109 1337526 6395923
10 100 10.035 15576 10 23 10444 699483
10 100 38.156 388995 23 51 228691 1663882
10 150 10.029 21037 10 16 13946 130780
10 150 42.907 587644 26 59 383329 1883456
10 200 10.052 27827 10 21 16817 440709
10 200 46.404 787684 28 71 514906 2517308
10 250 10.033 35100 10 27 21303 1295509
10 250 49.311 995386 30 74 622403 2812224
10 300 10.027 43395 10 17 24544 1404072
10 300 52.139 1211454 33 81 842649 2380374
10 350 10.024 51276 10 28 29316 1379974
10 350 54.123 1433891 32 86 1004818 3360921
10 400 10.046 64608 10 25 33451 2626743
10 400 56.064 1673280 33 90 1115999 4721416
10 450 10.01 72682 10 14 35035 1516882
10 450 57.816 1940568 36 93 1330383 10721439
10 500 10.052 88032 10 39 45647 6212023
10 500 59.434 2166234 39 101 1482149 6875037
20 100 20.0 21861 20 20 17626 55158
20 100 46.415 512676 33 57 342040 731281
20 150 20.0 29092 20 20 22696 51774
20 150 50.478 748084 35 66 521945 1033003
20 200 20.0 37036 20 20 27691 58464
20 200 53.653 984386 37 75 720677 2666171
20 250 20.0 45862 20 20 35785 104289
20 250 55.719 1224456 40 78 888577 2515844
20 300 20.0 55884 20 20 42383 163866
20 300 58.351 1489053 43 82 1126494 3918237
20 350 20.0 68823 20 20 45584 1221456
20 350 59.502 1764985 42 86 1304854 4363656
20 400 20.0 78023 20 20 55240 138678
20 400 61.065 2000271 45 96 1552138 3547467
20 450 20.0 89277 20 20 58322 215765
20 450 62.804 2270214 42 99 1742727 5827580
20 500 20.002 103364 20 22 64531 1277820
20 500 63.701 2514253 46 99 1925730 6282025
30 100 30.0 29601 30 30 23732 67549
30 100 55.859 667897 41 66 449610 1677212
30 150 30.0 37825 30 30 31071 136964
30 150 59.24 935597 45 73 675623 2281038
30 200 30.0 46937 30 30 35683 108417
30 200 62.033 1214450 47 80 918020 2254682
30 250 30.0 56316 30 30 43206 106085
30 250 64.302 1480266 49 81 1147352 2017458
30 300 30.0 67333 30 30 43526 165165
30 300 66.09 1773374 50 87 1410378 4206336
30 350 30.0 81645 30 30 60645 1106159
30 350 67.956 2070811 53 98 1554486 5609254
30 400 30.0 91859 30 30 73288 233579
30 400 69.439 2359412 54 94 1902475 6024767
30 450 30.0 105696 30 30 75531 1048679
30 450 70.603 2667469 55 92 2114991 6275630
30 500 30.0 122049 30 30 91326 1809373
30 500 72.063 2985111 57 101 2427478 7243658
