Results of simulation
Algorithm, NumPrimaryLinks, NumSecondaryLinks, NumLinksSelected, TimeToExecute(ns)
C Algorithm, 1, 100, 1.0, 19694
T Algorithm, 1, 100, 26.621, 1921173
M Algorithm, 1, 100, 19.578, 1605345
P Algorithm, 1, 100, 18.087, 832467
C Algorithm, 1, 150, 1.0, 12544
T Algorithm, 1, 150, 30.76, 2735176
M Algorithm, 1, 150, 22.273, 3466451
P Algorithm, 1, 150, 20.737, 1491880
C Algorithm, 1, 200, 1.0, 14413
T Algorithm, 1, 200, 35.101, 4359695
M Algorithm, 1, 200, 24.516, 6131750
P Algorithm, 1, 200, 23.024, 2298346
C Algorithm, 1, 250, 1.0, 17312
T Algorithm, 1, 250, 38.19, 6261445
M Algorithm, 1, 250, 26.448, 9595710
P Algorithm, 1, 250, 25.094, 3288238
C Algorithm, 1, 300, 1.0, 20614
T Algorithm, 1, 300, 41.175, 8390378
M Algorithm, 1, 300, 28.709, 13843442
P Algorithm, 1, 300, 26.552, 4317719
C Algorithm, 1, 350, 1.0, 23992
T Algorithm, 1, 350, 43.256, 10519412
M Algorithm, 1, 350, 29.747, 18799808
P Algorithm, 1, 350, 27.763, 5368897
C Algorithm, 1, 400, 1.0, 27791
T Algorithm, 1, 400, 45.577, 12939010
M Algorithm, 1, 400, 31.065, 24569616
P Algorithm, 1, 400, 29.595, 6603320
C Algorithm, 1, 450, 1.0, 32198
T Algorithm, 1, 450, 45.737, 14843208
M Algorithm, 1, 450, 30.485, 31014862
P Algorithm, 1, 450, 29.101, 7462630
C Algorithm, 1, 500, 1.0, 38508
T Algorithm, 1, 500, 49.309, 18224149
M Algorithm, 1, 500, 33.856, 38444552
P Algorithm, 1, 500, 31.287, 8939779
C Algorithm, 2, 100, 2.0, 10428
T Algorithm, 2, 100, 23.307, 1315514
M Algorithm, 2, 100, 15.816, 1621702
P Algorithm, 2, 100, 15.802, 720745
C Algorithm, 2, 150, 2.0, 12298
T Algorithm, 2, 150, 26.297, 2350664
M Algorithm, 2, 150, 16.956, 3517091
P Algorithm, 2, 150, 17.695, 1268027
C Algorithm, 2, 200, 2.0, 14939
T Algorithm, 2, 200, 27.971, 3497873
M Algorithm, 2, 200, 17.589, 6241925
P Algorithm, 2, 200, 18.445, 1858344
C Algorithm, 2, 250, 2.0, 18156
T Algorithm, 2, 250, 29.493, 4784456
M Algorithm, 2, 250, 19.16, 9755929
P Algorithm, 2, 250, 19.534, 2564864
C Algorithm, 2, 300, 2.0, 21464
T Algorithm, 2, 300, 30.954, 6231641
M Algorithm, 2, 300, 19.577, 13969537
P Algorithm, 2, 300, 20.492, 3344333
C Algorithm, 2, 350, 2.0, 26078
T Algorithm, 2, 350, 32.674, 7951634
M Algorithm, 2, 350, 21.085, 19088670
P Algorithm, 2, 350, 21.39, 4119627
C Algorithm, 2, 400, 2.0, 28478
T Algorithm, 2, 400, 33.834, 9576409
M Algorithm, 2, 400, 21.686, 24823727
P Algorithm, 2, 400, 22.178, 4989941
C Algorithm, 2, 450, 2.0, 33935
T Algorithm, 2, 450, 32.902, 10534302
M Algorithm, 2, 450, 20.827, 31423632
P Algorithm, 2, 450, 21.599, 5534390
C Algorithm, 2, 500, 2.0, 37941
T Algorithm, 2, 500, 34.428, 12566845
M Algorithm, 2, 500, 22.165, 38802108
P Algorithm, 2, 500, 22.478, 6470484
C Algorithm, 5, 100, 5.0, 11474
T Algorithm, 5, 100, 20.31, 1144754
M Algorithm, 5, 100, 13.34, 1679303
P Algorithm, 5, 100, 14.49, 642832
C Algorithm, 5, 150, 5.0, 12734
T Algorithm, 5, 150, 21.581, 1933592
M Algorithm, 5, 150, 14.479, 3664217
P Algorithm, 5, 150, 15.188, 1096018
C Algorithm, 5, 200, 5.0, 13716
T Algorithm, 5, 200, 22.477, 2811191
M Algorithm, 5, 200, 15.029, 6459631
P Algorithm, 5, 200, 15.731, 1611198
C Algorithm, 5, 250, 5.0, 17967
