Results of simulation
numPrimaryLinks, numSecondaryLinks, avgSelected, avgTime, minSelected, maxSelected, minTime, maxTime
1 100 25.309 1452946 2 41 13550 8483994
1 100 51.074 6476948 29 65 3705936 36625773
1 150 30.547 2883213 5 52 21405 8512181
1 150 63.016 13041201 24 78 4279911 19472033
1 200 35.381 4792962 5 57 21559 14403066
1 200 72.626 21778674 23 92 5825370 33486730
1 250 37.896 6541577 7 63 46242 18054834
1 250 80.016 31459746 31 101 11266471 45385671
1 300 41.621 9235575 4 65 28779 22937599
1 300 86.609 42564202 30 108 12761649 60398930
1 350 45.148 11971987 4 70 35537 33048442
1 350 93.079 54843103 32 117 16420466 81698881
1 400 46.012 14191024 5 72 42810 37677421
1 400 96.443 67216592 35 128 22158252 99148816
1 450 48.933 17145087 5 74 44268 41030568
1 450 101.681 81586653 28 129 17874811 113144441
1 500 51.377 20294831 5 78 50765 47332463
1 500 105.943 95203042 32 138 26209007 140347147
2 100 21.44 997465 2 41 10870 5104304
2 100 51.529 6381428 28 62 3370402 10037032
2 150 24.393 1855066 3 48 13919 7251109
2 150 62.644 13178829 26 79 4912632 21461462
2 200 28.524 3161998 3 57 18186 11769161
2 200 71.25 21626204 30 89 8863098 31554452
2 250 30.139 4287529 3 60 22477 17484022
2 250 77.451 31052486 27 101 9524368 44945152
2 300 33.128 5874038 5 64 30284 22120562
2 300 81.908 41296204 34 108 15375738 61391238
2 350 34.972 7447571 4 69 30088 31128685
2 350 85.959 52462470 30 115 14972437 158988400
2 400 37.761 9561056 4 71 37660 35192318
2 400 91.534 65533416 32 125 20569476 183260595
2 450 39.261 11145202 5 78 48448 41254141
2 450 94.235 77346579 32 129 20686279 120222210
2 500 40.505 12732569 5 77 54741 51021852
2 500 96.024 89962981 33 138 27216409 138539697
5 100 17.162 480217 5 41 11202 3842296
5 100 53.208 7137055 26 67 3024044 11051395
5 150 19.468 908570 5 49 16009 7200825
5 150 63.897 14482700 31 78 6596764 20937395
5 200 21.475 1426430 5 57 23942 12796237
5 200 70.908 23142642 29 93 8106786 34470529
5 250 22.273 1780850 6 56 29846 15376531
5 250 74.969 32437347 30 99 9928410 46951789
5 300 23.939 2464925 6 69 34887 25862529
5 300 78.107 42433423 33 111 15531622 65388010
5 350 25.449 3345243 7 70 47556 29921050
5 350 81.758 53564019 33 115 19258960 84862772
5 400 26.017 3914389 7 72 55186 32405030
5 400 81.518 63209679 30 125 19016755 100738205
5 450 26.701 4494235 8 74 65059 39086367
5 450 82.395 73615828 34 134 26211423 123005691
5 500 28.847 5670967 7 75 76184 44670810
5 500 86.302 87658621 36 142 31844074 143813556
10 100 16.919 206858 10 40 15387 3127520
10 100 57.148 8567185 31 70 4162665 12085732
10 150 18.393 395441 10 44 20556 6399120
10 150 66.88 16788565 27 85 5235155 24247686
10 200 19.502 575242 11 55 30441 10597368
10 200 72.28 26167642 31 94 9470244 37939339
10 250 20.263 764344 11 55 38633 12806295
10 250 75.669 36265371 35 105 14405066 55397241
10 300 21.683 1086291 11 55 46361 13584319
10 300 78.998 47418936 36 111 19201837 72625304
10 350 21.808 1298041 11 59 61727 23270334
10 350 79.737 57676455 41 120 27111086 89374929
10 400 22.893 1638703 12 71 78475 33407820
10 400 81.187 69558020 36 124 25469661 106543998
10 450 24.091 2116686 12 64 91699 30286664
10 450 82.276 81139181 37 135 30611695 135567644
10 500 23.716 2001311 12 70 109881 44215914
10 500 81.817 91725639 37 135 34638689 149851995
20 100 24.626 141330 20 43 22889 2344496
20 100 66.601 11744481 41 80 6359238 17583731
20 150 25.314 225193 20 47 32567 5054756
20 150 75.172 22015372 42 95 10623442 31224837
20 200 25.814 284440 20 56 41479 10790050
20 200 79.596 33257814 38 105 12768620 48264047
20 250 26.424 389934 21 52 55475 6793968
20 250 83.469 45967940 42 108 18555528 63159675
20 300 26.881 490671 21 55 69213 10676087
20 300 84.415 58288124 44 123 24694136 88399204
20 350 27.169 575301 21 59 77337 16138025
20 350 85.116 70920186 42 126 27847144 107812708
20 400 27.572 744335 22 65 99895 24895705
20 400 86.768 84933092 47 132 38517967 125407633
20 450 27.788 789435 22 57 121158 16080699
20 450 86.856 97570055 47 136 42993130 155138788
20 500 28.313 955133 22 67 148997 26254581
20 500 87.405 111337465 48 139 48289091 168610405
30 100 33.593 128194 30 50 31096 2690709
30 100 76.467 14891289 52 86 9532751 26822468
30 150 34.272 182682 30 52 42081 3015190
30 150 85.113 27384523 50 103 15096520 37221923
30 200 34.604 233228 30 52 50424 5372768
30 200 88.628 40737813 52 110 19664813 53932089
30 250 35.086 301309 31 52 70749 3159739
30 250 92.689 56179091 51 120 23434228 77038738
30 300 35.669 408751 31 59 82616 8822079
30 300 93.332 70506788 57 126 38614218 101300537
30 350 35.83 487391 32 63 105181 10794390
30 350 93.916 85655180 61 135 48697986 207080762
30 400 36.259 578387 31 63 114888 14489800
30 400 94.54 100726478 57 137 48173928 142447465
30 450 36.049 558711 32 55 141410 7105464
30 450 94.386 115632133 56 141 54110344 167351588
30 500 36.346 697751 32 73 172988 27982663
30 500 95.629 132263976 59 146 66093165 193327538
